COICOP,Indicator.Name,2022-01-31
,,
,INDICE GLOBAL,"7,5"
I,Produits alimentaires et boissons non alcoolisées,"16,8"
,,
,,
,,
,,
,,
,,
,,
,,
II,"Boissons alcoolisées, tabacs et stupéfiants",1
III,Articles d'habillement et chaussures,"3,1"
IV,"Logement, eau, gaz, électricité et autres combustibles","4,7"
,,
V,,2
,,
VI,Santé,"-0,6"
VII,Transports,"5,8"
VIII,Communication,0
IX,Loisirs et culture,5
X,Enseignement,"-3,6"
XI,Restaurants et hôtels,"1,6"
XII,Biens et services divers,"1,8"
